Product,SKU Group,Brand,Retail Category,Revenue,Units,Last Order
Sativa - Orange Soda Panda Pen,,Panda Concentrates,,82.2,12,2026-04-14
Blood Orange LR Gummiez - Sativa,,Hot Sugar,,82.0,16,2026-06-08
Cake House Flower (Neon Runtz/3.5g),,Cake House,,80.04,12,2026-03-13
Cake House Flower (Wedding Cake/3.5g),,Cake House,,80.04,12,2026-03-13
Sativa - Tropical Slushie Snickle Fritz AIO,,Snickle Fritz,,80.04,12,2026-06-08
Non GMO LR Dabstract 1g C-Cell - (I),,Dabstract,,80.0,8,2026-03-01
Triple Burger LR Dabstract 1g C-Cell - (I),,Dabstract,,80.0,8,2026-01-03
Kauai LR Dabstract 1g C-Cell - (S),,Dabstract,,80.0,8,2026-02-11
Phat Panda Flower (Redneck Mintz/28g),,Phat Panda,,80.0,2,2026-03-29
Donny Burger LR Dabstract 1g C-Cell - (I),,Dabstract,,80.0,8,2026-03-01
Super Lemon Haze x Ghost Train LR Dabstract 1g C-Cell - (S),,Dabstract,,80.0,8,2026-01-03
Strawberry Kiwi Fruit Drops,,Hot Sugar,,80.0,20,2026-05-03
Sativa - Blackberry Slush,,Micro Bar,,80.0,8,2026-06-16
Phat Panda Flower (MAC Berry/28g),,Phat Panda,,80.0,2,2026-03-13
Phat Panda Flower (Powdered Donut/28g),,Phat Panda,,80.0,2,2026-03-13
Phat Panda Flower (Triple Burger/28g),,Phat Panda,,80.0,2,2026-03-29
Golden Pineapple 10g Mega Roll,,Phat Panda,,79.98,6,2026-03-13
Sungrown (BDP Gelato/3.5g),,Snickle Fritz,,79.92,24,2026-04-14
Original Glue - Platinum Preroll,,Phat Panda,,79.8,60,2026-05-03
Pink Lemonade 1g Preroll,,Phat Panda,,79.8,60,2026-04-14
Wedding Sunset 1g Preroll,,Phat Panda,,79.8,60,2026-03-29
Phat Panda Flower (Confetti Cake/3.5g),,Phat Panda,,79.8,12,2026-03-01
Grand Daddy Purple Bx2 - Platinum 1g Preroll,,Phat Panda,,79.8,60,2026-05-03
Apple MAC 1g Preroll,,Phat Panda,,79.8,60,2026-03-29
Phat Panda Flower (Ice Cream Cake/3.5g),,Phat Panda,,79.8,12,2026-02-11
Moon Balls - Platinum 1g Preroll,,Phat Panda,,79.8,60,2026-05-03
Pineapple Summit 1g Preroll,,Phat Panda,,79.8,60,2026-04-14
Tangerine Queen 1g Preroll,,Phat Panda,,79.0,50,2026-05-18
DoughP LR Dabstract Sugar - (I),,Dabstract,,78.0,13,2026-03-29
Phat Panda Flower (Truffle Shuffle/3.5g),,Phat Panda,,75.6,12,2026-04-14
Phat Panda Flower (Triple Burger/3.5g),,Phat Panda,,75.6,12,2026-03-29
Phat Panda Flower (MAC Berry/3.5g),,Phat Panda,,75.6,12,2026-04-14
